		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	temp	temp	temp	temp	temp	temp
							
0bn.treatment	treatment = 0b,	1.786	0.292	-0.114	2.157	0.347	-1.085
		(0.0104)	(0.706)	(0.872)	(0.109)	(0.863)	(0.571)
1.treatment	treatment = 1, WTA_AG	2.073	-0.503	-0.405	2.427	4.313	2.689
		(0.00298)	(0.594)	(0.634)	(0.0717)	(0.00922)	(0.146)
2.treatment	treatment = 2, WTA_AC	1.015	0.703	0.283	1.143	0.120	0.116
		(0.144)	(0.413)	(0.726)	(0.393)	(0.927)	(0.921)
3.treatment	treatment = 3, WTA_Prop	0.460	-0.304	-0.887	1.850	2.428	1.021
		(0.507)	(0.684)	(0.207)	(0.168)	(0.145)	(0.521)
11.treatment	treatment = 11, PR	2.450	2.193	0.184	3.181	2.183	-1.554
		(0.000466)	(0.00784)	(0.835)	(0.0190)	(0.254)	(0.519)
21.treatment	treatment = 21, UPA	1.838	0.648	-0.242	1.274	1.261	-0.0454
		(0.00837)	(0.429)	(0.770)	(0.437)	(0.463)	(0.978)
22.treatment	treatment = 22, UPC	1.815	0.457	-0.859	0.597	-0.0691	-1.569
		(0.00920)	(0.584)	(0.284)	(0.655)	(0.976)	(0.467)
0bn.treatment#c.guesscost			0.743	0.0973		0.427	0.0538
			(0.000411)	(0.705)		(0.247)	(0.885)
1.treatment#c.guesscost			0.901	0.357		-0.594	-0.626
			(0.000182)	(0.266)		(0.0654)	(0.0308)
2.treatment#c.guesscost			0.103	0.00991		1.490	1.507
			(0.575)	(0.955)		(0.00139)	(0.0380)
3.treatment#c.guesscost			0.390	0.0249		-0.271	-0.909
			(0.0340)	(0.906)		(0.587)	(0.0836)
11.treatment#c.guesscost			0.119	-0.127		0.437	0.146
			(0.604)	(0.553)		(0.483)	(0.799)
21.treatment#c.guesscost			0.591	0.394		0.00983	-1.064
			(0.0166)	(0.0959)		(0.986)	(0.151)
22.treatment#c.guesscost			0.608	0.148		0.199	-0.346
			(0.00929)	(0.523)		(0.732)	(0.538)
0bn.treatment#c.payoff		0.156	-0.0212	-0.0540	0.273	0.434	0.252
		(0.475)	(0.920)	(0.777)	(0.516)	(0.304)	(0.513)
1.treatment#c.payoff		0.108	0.156	0.00619	0.133	0.0687	-0.133
		(0.620)	(0.450)	(0.975)	(0.751)	(0.863)	(0.728)
2.treatment#c.payoff		0.391	0.397	0.378	0.560	-0.417	-0.405
		(0.0737)	(0.0541)	(0.0424)	(0.184)	(0.401)	(0.509)
3.treatment#c.payoff		0.821	0.687	0.601	0.589	0.661	0.601
		(0.000195)	(0.00152)	(0.00232)	(0.163)	(0.118)	(0.112)
11.treatment#c.payoff		0.1000	0.0677	0.0923	0.0338	-0.107	-0.193
		(0.646)	(0.752)	(0.633)	(0.936)	(0.810)	(0.629)
21.treatment#c.payoff		0.299	0.116	0.0325	0.451	0.446	1.110
		(0.170)	(0.595)	(0.871)	(0.381)	(0.431)	(0.0678)
22.treatment#c.payoff		0.541	0.337	0.0725	0.882	0.895	0.639
		(0.0134)	(0.126)	(0.724)	(0.0378)	(0.0273)	(0.0875)
0bn.treatment#c.guessbid				0.936			1.150
				(0.000267)			(0.0397)
1.treatment#c.guessbid				0.679			0.834
				(0.0228)			(0.153)
2.treatment#c.guessbid				0.318			-0.0300
				(0.0777)			(0.977)
3.treatment#c.guessbid				0.720			1.222
				(0.00527)			(0.0204)
11.treatment#c.guessbid				0.975			1.619
				(3.43e-05)			(0.0316)
21.treatment#c.guessbid				0.652			0.981
				(0.0186)			(0.0452)
22.treatment#c.guessbid				1.132			1.303
				(3.43e-06)			(0.0133)
							
Observations		315	315	315	100	100	100
R-squared		0.766	0.797	0.839	0.795	0.831	0.878
pval in parentheses							
