		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	temp	/	temp	/	temp	/	temp	/	temp	/	temp	/
													
0bn.treatment	treatment = 0b,	1.842		0.126		-0.300		2.157		0.347		-1.085	
		(0.0182)		(0.884)		(0.698)		(0.137)		(0.867)		(0.563)	
1.treatment	treatment = 1, WTA_AG	2.051		-0.782		-0.709		2.480		4.635		2.934	
		(0.00901)		(0.457)		(0.449)		(0.0878)		(0.00746)		(0.107)	
2.treatment	treatment = 2, WTA_AC	1.015		0.703		0.283		1.184		-0.00640		0.00676	
		(0.190)		(0.457)		(0.747)		(0.419)		(0.996)		(0.995)	
3.treatment	treatment = 3, WTA_Prop	-0.00263		-0.935		-1.551		1.326		2.202		0.646	
		(0.997)		(0.272)		(0.0543)		(0.371)		(0.205)		(0.688)	
11.treatment	treatment = 11, PR	2.495		2.245		0.00526		3.181		2.183		-1.554	
		(0.00151)		(0.0136)		(0.996)		(0.0293)		(0.268)		(0.510)	
21.treatment	treatment = 21, UPA	1.857		0.674		-0.272		0.618		0.664		-0.797	
		(0.0175)		(0.457)		(0.762)		(0.738)		(0.723)		(0.651)	
22.treatment	treatment = 22, UPC	1.520		0.0823		-1.464		-0.167		-0.998		-4.291	
		(0.0549)		(0.930)		(0.103)		(0.911)		(0.692)		(0.122)	
0bn.treatment#c.guesscost				0.870		0.126				0.427		0.0538	
				(0.000347)		(0.669)				(0.261)		(0.883)	
1.treatment#c.guesscost				0.998		0.302				-0.675		-0.690	
				(0.000236)		(0.394)				(0.0473)		(0.0173)	
2.treatment#c.guesscost				0.103		0.00991				1.803		1.716	
				(0.611)		(0.958)				(0.000549)		(0.0217)	
3.treatment#c.guesscost				0.485		0.0685				-0.387		-1.003	
				(0.0198)		(0.768)				(0.465)		(0.0525)	
11.treatment#c.guesscost				0.115		-0.161				0.437		0.146	
				(0.652)		(0.494)				(0.496)		(0.794)	
21.treatment#c.guesscost				0.586		0.375				0.0308		-1.131	
				(0.0310)		(0.145)				(0.960)		(0.123)	
22.treatment#c.guesscost				0.651		0.107				0.271		-0.353	
				(0.0122)		(0.673)				(0.660)		(0.531)	
0bn.treatment#c.payoff		0.118		-0.102		-0.119		0.273		0.434		0.252	
		(0.630)		(0.669)		(0.573)		(0.547)		(0.318)		(0.504)	
1.treatment#c.payoff		0.0740		0.119		-0.0649		0.0976		0.0173		-0.175	
		(0.763)		(0.604)		(0.764)		(0.830)		(0.967)		(0.641)	
2.treatment#c.payoff		0.391		0.397		0.378		0.582		-0.593		-0.573	
		(0.109)		(0.0801)		(0.0608)		(0.210)		(0.275)		(0.346)	
3.treatment#c.payoff		0.973		0.800		0.705		0.813		0.897		0.765	
		(0.000116)		(0.00105)		(0.00125)		(0.0852)		(0.0505)		(0.0462)	
11.treatment#c.payoff		0.0895		0.0583		0.0986		0.0338		-0.107		-0.193	
		(0.716)		(0.808)		(0.645)		(0.940)		(0.815)		(0.621)	
21.treatment#c.payoff		0.292		0.112		0.0217		0.659		0.616		1.330	
		(0.235)		(0.646)		(0.921)		(0.257)		(0.300)		(0.0310)	
22.treatment#c.payoff		0.651		0.425		0.114		1.161		1.150		0.939	
		(0.00922)		(0.0852)		(0.616)		(0.0156)		(0.00911)		(0.0199)	
0bn.treatment#c.guessbid						1.034						1.150	
						(0.000438)						(0.0354)	
1.treatment#c.guessbid						0.880						0.839	
						(0.00978)						(0.142)	
2.treatment#c.guessbid						0.318						0.0482	
						(0.103)						(0.964)	
3.treatment#c.guessbid						0.794						1.309	
						(0.00582)						(0.0137)	
11.treatment#c.guessbid						1.080						1.619	
						(3.71e-05)						(0.0279)	
21.treatment#c.guessbid						0.696						1.091	
						(0.0223)						(0.0274)	
22.treatment#c.guessbid						1.339						1.937	
						(1.09e-06)						(0.00287)	
var(e.temp)			2.984		2.580		2.025		3.434		2.814		2.011
			(0)		(0)		(0)		(2.05e-08)		(2.42e-08)		(2.99e-08)
Constant	Constant	0		0		0		0		0		0	
													
													
Observations		315	315	315	315	315	315	100	100	100	100	100	100
pval in parentheses													
