		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	wtb	/	wtb	/	wtb	/	wtb	/	wtb	/	wtb	/
													
cost	cost	-0.268		-0.268		-0.258		-0.583		-0.583		-0.501	
		(0.000988)		(0.000988)		(1.70e-05)		(0.000498)		(0.000498)		(0.000149)	
payoff_hyp	payoff_hyp	0.356		0.356		0.365		-0.0448		-0.0448		0.300	
		(0)		(0)		(0)		(0.608)		(0.608)		(0.0104)	
condition	condition	0.659						0.616					
		(0)						(8.29e-08)					
con2	con2	-0.644						-0.881					
		(0)						(1.33e-07)					
0.treatment#c.condition				0.659		0.664				0.616		0.585	
				(0)		(0)				(8.29e-08)		(1.17e-10)	
0.treatment#c.con2				-0.644		-0.673				-0.881		-0.885	
				(0)		(0)				(1.33e-07)		(0)	
Constant	Constant	-0.820		-0.820		-0.160		1.343		1.343		1.312	
		(7.38e-06)		(7.38e-06)		(0.608)		(0.00142)		(0.00142)		(0.0227)	
													
Observations		3,407	3,407	3,407	3,407	3,407	3,407	974	974	974	974	974	974
pval in parentheses													
