		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	bid	bid	bid	/	bid	bid	bid	/
									
0bn.treatment	treatment = 0b,	2.186	1.612	1.656		2.510	1.421	1.421	
		(0)	(0.000863)	(0.00187)		(0)	(0.103)	(0.125)	
1.treatment	treatment = 1, WTA_AG	2.109	1.396	1.344		2.526	1.621	1.651	
		(0)	(0.00581)	(0.0164)		(0)	(0.0478)	(0.0580)	
2.treatment	treatment = 2, WTA_AC	1.662	0.837	0.865		2.568	1.410	1.461	
		(0)	(0.0681)	(0.0861)		(0)	(0.136)	(0.149)	
3.treatment	treatment = 3, WTA_Prop	2.508	1.059	0.850		2.874	0.457	-0.0677	
		(0)	(0.0219)	(0.0989)		(0)	(0.566)	(0.938)	
11.treatment	treatment = 11, PR	2.628	1.373	1.354		3.130	3.331	3.450	
		(0)	(0.00393)	(0.00988)		(0)	(0.000208)	(0.000326)	
21.treatment	treatment = 21, UPA	2.523	1.720	1.728		2.634	1.326	1.080	
		(0)	(7.36e-05)	(0.000309)		(0)	(0.183)	(0.317)	
22.treatment	treatment = 22, UPC	2.803	1.989	1.865		2.824	0.152	-0.220	
		(0)	(2.65e-07)	(1.34e-05)		(0)	(0.812)	(0.752)	
0bn.treatment#c.payoff			0.188	0.167			0.378	0.378	
			(0.209)	(0.311)			(0.184)	(0.211)	
1.treatment#c.payoff			0.229	0.213			0.321	0.302	
			(0.138)	(0.214)			(0.234)	(0.294)	
2.treatment#c.payoff			0.279	0.261			0.361	0.359	
			(0.0564)	(0.106)			(0.197)	(0.232)	
3.treatment#c.payoff			0.471	0.519			0.885	1.074	
			(0.000903)	(0.00104)			(0.00131)	(0.000405)	
11.treatment#c.payoff			0.410	0.418			-0.0723	-0.106	
			(0.00530)	(0.0101)			(0.808)	(0.739)	
21.treatment#c.payoff			0.282	0.275			0.415	0.490	
			(0.0467)	(0.0798)			(0.169)	(0.134)	
22.treatment#c.payoff			0.271	0.297			0.881	0.994	
			(0.0245)	(0.0266)			(1.38e-05)	(6.59e-06)	
var(e.bid)					2.575				2.421
					(0)				(0)
Constant	Constant			0				0	
									
									
Observations		675	675	675	675	195	195	195	195
R-squared		0.724	0.738			0.758	0.800		
pvalue0			-8.08e-08	-5.71e-07	-5.71e-07		-0.0295	-0.0405	-0.0405
pvalue11			-6.50e-05	-0.000356	-0.000356		-0.000402	-0.000625	-0.000625
pvalue21			-5.39e-07	-4.58e-06	-4.58e-06		-0.0537	-0.119	-0.119
pvalue22			-2.17e-09	-1.89e-07	-1.89e-07		-0.547	-0.977	-0.977
pval in parentheses									
